Table S3. Mouse protein-protein interactions. From columns M to Q are reported the results of the M2H screen,,,,,,,,,,,,,,,,,
EdgeID,geneid1,geneid1symbol,geneid2,geneid2symbol,PubMed IDs,Number of PubMed hits,Methods,Databases,GOSemSim BP,Common Pathways,Gold Standard,Mouse 2x2,,,,,
MM011695:MM015408,11695,Alx4,15408,Hoxb13,,0,,,0.869,,,,M222011D09:M222019C03;M222011D09:M222026C10;M222011D09:M222024C12;,10.41327,,10.41327;4.073148;4.190014;,
MM011695:MM015423,11695,Alx4,15423,Hoxc4,,0,,,0.909,,,M222019C03:M222026H04;M222019C03:M222024D05;,M222018G05:M222026C10;M222018G05:M222024C12;,4.596658,3.992842;4.596658;,4.026922;4.203384;,
MM011695:MM015432,11695,Alx4,15432,Hoxd12,,0,,,0.897,,,,M222011F09:M222019C03;,9.849647,,9.849647;,
MM011695:MM015433,11695,Alx4,15433,Hoxd13,,0,,,0.866,,,M222019C03:M222026F07;M222019C03:M222018H10;,M222018H10:M222024C12;,8.130148,4.275643;4.324142;,8.130148;,
MM011695:MM016825,11695,Alx4,16825,Ldb1,,0,,,0.514,,,M222026C10:M222026D09;M222026C10:M222024A11;,,4.579902,3.81631;4.579902;,,
MM011695:MM016917,11695,Alx4,16917,Lmx1b,,0,,,0.774,,,M222024C12:M222024C10;M222026C10:M222024C10;,M222024C10:M222024C12;M222024C10:M222026C10;,5.425789,4.109253;5.425789;,3.318455;3.370143;,
MM011695:MM018424,11695,Alx4,18424,Otx2,,0,,,0.766,,,M222019C03:M222016A09;M222026C10:M222016A09;,M222016A09:M222019C03;M222016A09:M222024C12;M222016A09:M222026C10;,10.27418,10.27418;7.232082;,3.764237;3.869464;4.72635;,
MM011695:MM018505,11695,Alx4,18505,Pax3,,0,,,0.751,,,,M222012F04:M222019C03;,7.443933,,7.443933;,
MM011695:MM018933,11695,Alx4,18933,Prrx1,,0,,,0.846,,,,M222026B04:M222024C12;,7.749894,,7.749894;,
MM011695:MM018994,11695,Alx4,18994,Pou3f4,,0,,,0.76,,,,M222029G07:M222019C03;,7.433939,,7.433939;,
MM011695:MM018997,11695,Alx4,18997,Pou4f2,,0,,,0.61,,,M222019C03:M222024F12;M222026C10:M222024F12;,,7.739547,5.722426;7.739547;,,
MM011695:MM019434,11695,Alx4,19434,Rax,,0,,,0.858,,,,M222014E11:M222026C10;M222014E11:M222024C12;,4.407978,,4.357902;4.407978;,
MM011695:MM020670,11695,Alx4,20670,Sox15,,0,,,0.637,,,M222019C03:M222012F07;,,8.807175,8.807175;,,
MM011695:MM020674,11695,Alx4,20674,Sox2,,0,,,0.628,,,M222019C03:M222024D08;M222019C03:M222026H06;,,5.080306,3.091228;5.080306;,,
MM011695:MM027217,11695,Alx4,27217,Mixl1,,0,,,0.797,,,,M222018F04:M222026C10;M222018F04:M222024C12;M222024B04:M222019C03;M222018F04:M222019C03;M222024B04:M222024C12;M222026F03:M222019C03;,12.33714,,10.32852;12.33714;6.566238;7.414269;7.647542;8.758889;,
MM011695:MM057765,11695,Alx4,57765,Tbx21,,0,,,0.54,,,M222019C03:M222015C04;,M222015C04:M222019C03;M222015C04:M222024C12;,5.138287,5.138287;,3.765007;4.422043;,
MM011695:MM071991,11695,Alx4,71991,Ercc8,,0,,,0.541,,,M222026C10:M222021F05;,,6.204825,6.204825;,,
MM011695:MM114606,11695,Alx4,114606,Tle6,,0,,,0.563,,,M222026C10:M222022F05;,,8.956512,8.956512;,,
MM011695:MM216154,11695,Alx4,216154,Thrap5,,0,,,0.6,,,M222024C12:M222023G08;M222026C10:M222023G08;,,22.99887,19.03347;22.99887;,,
MM011695:MM233863,11695,Alx4,233863,Gtf3c1,,0,,,0.576,,,M222019C03:M222017G07;M222026C10:M222017G07;,,3.595375,3.009646;3.595375;,,
MM011789:MM012387,11789,Apc,12387,Ctnnb1,,0,,,0.537,Reactome/Apoptotic cleavage of cellular proteins; Reactome/Beta-catenin phosphorylation cascade; Reactome/Apoptotic execution  phase; Reactome/Signaling by Wnt; Reactome/Apoptosis; Reactome/Degradation of beta-catenin by the destruction complex,,,,,,,
MM011835:MM017978,11835,Ar,17978,Ncoa2,,0,,,0.737,,,,,,,,
MM011835:MM018986,11835,Ar,18986,Pou2f1,,0,,,0.639,,,,,,,,
MM011835:MM027140,11835,Ar,27140,Tlx3,,0,,,0.597,,,,M222018A08:M222014D09;,6.663322,,6.663322;,
MM011865:MM013819,11865,Arntl,13819,Epas1,,0,,,0.557,,,,,,,,
MM011865:MM015251,11865,Arntl,15251,Hif1a,,0,,,0.557,,,,,,,,
MM011865:MM056736,11865,Arntl,56736,Rnf14,,0,,,0.555,,,M222011A02:M222028A07;,,79.36745,79.36745;,,
MM011909:MM012023,11909,Atf2,12023,Barx2,,0,,,0.673,,,,,,,,
MM011911:MM014281,11911,Atf4,14281,Fos,,0,,,0.481,,,,,,,,
MM011911:MM016476,11911,Atf4,16476,Jun,,0,,,0.609,,,,,,,,
MM011921:MM012395,11921,Atoh1,12395,Runx1t1,,0,,,0.584,,,,M222025D04:M222011D02;M222023B12:M222011D02;,3.098743,,3.029894;3.098743;,
MM011923:MM012395,11923,Neurod4,12395,Runx1t1,,0,,,0.64,,,,M222019G09:M222011E02;M222025D04:M222011E02;,4.455214,,3.696748;4.455214;,
MM011924:MM017172,11924,Neurog2,17172,Ascl1,,0,,,0.875,,,,,,,,
MM011991:MM056222,11991,Hnrpd,56222,Cited4,,0,,,0.891,,,,M222020D05:M222031H06;,6.050425,,6.050425;,
MM012013:MM012013,12013,Bach1,12013,Bach1,,0,,,1,,,,,,,,
MM012021:MM013180,12021,Bard1,13180,Pcbd1,,0,,,,,,,M222020G01:M222011G02;,9.174747,,9.174747;,
MM012022:MM013390,12022,Barx1,13390,Dlx1,,0,,,0.711,,,M222026C01:M222024H04;M222018D02:M222024H04;,,9.363674,3.47188;9.363674;,,
MM012022:MM239652,12022,Barx1,239652,Zfp641,,0,,,0.609,,,M222018D02:M222021F07;M222026C01:M222021F07;,,4.201749,3.401359;4.201749;,,
MM012023:MM012912,12023,Barx2,12912,Creb1,,0,,,0.541,,,,,,,,
MM012023:MM014281,12023,Barx2,14281,Fos,,0,,,0.578,,,,,,,,
MM012023:MM016476,12023,Barx2,16476,Jun,,0,,,0.631,,,,,,,,
MM012029:MM012053,12029,Bcl6b,12053,Bcl6,,0,,,1,,,,,,,,
MM012053:MM019015,12053,Bcl6,19015,Ppard,,0,,,0.451,,,,,,,,
MM012189:MM012190,12189,Brca1,12190,Brca2,,0,,,0.613,Reactome/Homologous recombination repair of replication-independent double-strand breaks; Reactome/Double-Strand Break Repair; Reactome/DNA Repair; Reactome/Homologous Recombination Repair,,,,,,,
MM012189:MM014030,12189,Brca1,14030,Ewsr1,,0,,,0.34,,,,M222028H10:M222025F12;,26.91983,,26.91983;,
MM012189:MM015399,12189,Brca1,15399,Hoxa2,,0,,,0.457,,,,M222018G12:M222025F12;,6.3047,,6.3047;,
MM012189:MM015421,12189,Brca1,15421,Hoxc12,,0,,,0.506,,,,M222024C06:M222025F12;,6.569956,,6.569956;,
MM012189:MM021423,12189,Brca1,21423,Tcfe2a,,0,,,0.36,,,,M222028E10:M222025F12;,21.49949,,21.49949;,
MM012189:MM050914,12189,Brca1,50914,Olig1,,0,,,0.444,,,,M222015H02:M222025D12;M222015H02:M222025E12;,3.933791,,3.519495;3.933791;,
MM012190:MM019361,12190,Brca2,19361,Rad51,,0,,,0.548,KEGG/Pathways in cancer - Mus musculus (mouse); Reactome/Homologous DNA pairing and strand exchange; Reactome/Double-Strand Break Repair; Reactome/Presynaptic phase of homologous DNA pairing and strand exchange; Reactome/Homologous Recombination Repair; K,,,,,,,
MM012190:MM019363,12190,Brca2,19363,Rad51l1,,0,,,0.478,KEGG/Homologous recombination - Mus musculus (mouse),,,,,,,
MM012192:MM013180,12192,Zfp36l1,13180,Pcbd1,,0,,,0.287,,,,M222020G01:M222018E10;,7.061609,,7.061609;,
MM012226:MM018983,12226,Btg1,18983,Cnot7,,0,,,0.347,,,,M222020G09:M222029C02;,58.99385,,58.99385;,
MM012226:MM069125,12226,Btg1,69125,Cnot8,,0,,,0.32,,,M222029C02:M222020C10;,M222020C10:M222029C02;,138.5885,138.5885;,72.65624;,
MM012227:MM069125,12227,Btg2,69125,Cnot8,,0,,,0.546,,,M222029A02:M222020C10;,M222020C10:M222029A02;,104.3419,104.3419;,61.62621;,
MM012265:MM014030,12265,C2ta,14030,Ewsr1,,0,,,0.934,,,,M222028H10:M222022H06;M222011D06:M222022H06;,39.60112,,39.60112;5.814897;,
MM012265:MM015399,12265,C2ta,15399,Hoxa2,,0,,,0.491,,,,M222018G12:M222022H06;,7.562219,,7.562219;,
MM012265:MM018022,12265,C2ta,18022,Nfe2,,0,,,0.689,,,,M222012G02:M222022H06;,6.213231,,6.213231;,
MM012265:MM021423,12265,C2ta,21423,Tcfe2a,,0,,,0.97,,,,M222028F10:M222022H06;M222028E10:M222022H06;,5.705837,,3.792141;5.705837;,
MM012265:MM056222,12265,C2ta,56222,Cited4,,0,,,0.948,,,,M222020D05:M222022H06;,13.64687,,13.64687;,
MM012265:MM056809,12265,C2ta,56809,Gmeb1,,0,,,0.934,,,,M222015G05:M222022H06;,7.738804,,7.738804;,
MM012265:MM072475,12265,C2ta,72475,Ssbp3,,0,,,0.829,,,,M222015H08:M222022H06;,31.06309,,31.06309;,
MM012265:MM076900,12265,C2ta,76900,Ssbp4,,0,,,,,,,M222018C12:M222022H06;,6.862227,,6.862227;,
MM012355:MM020183,12355,Nr1i3,20183,Rxrg,,0,,,0.909,,,M222013H01:M222031F06;,,9.819674,9.819674;,,
MM012387:MM012387,12387,Ctnnb1,12387,Ctnnb1,,0,,,1,,,,,,,,
MM012393:MM012400,12393,Runx2,12400,Cbfb,,0,,,0.68,,,,,,,,
MM012393:MM019645,12393,Runx2,19645,Rb1,,0,,,0.599,,,,,,,,
MM012393:MM019651,12393,Runx2,19651,Rbl2,,0,,,0.504,,,,,,,,
MM012395:MM015904,12395,Runx1t1,15904,Id4,,0,,,0.449,,,M222023B12:M222016F04;M222025D04:M222016F04;M222019G09:M222016F04;,,5.407144,3.793552;4.137501;5.407144;,,
MM012395:MM018012,12395,Runx1t1,18012,Neurod1,,0,,,0.574,,,M222019G09:M222013H10;M222023B12:M222013H10;M222025D04:M222013H10;,,7.473677,5.685377;5.981316;7.473677;,,
MM012395:MM018014,12395,Runx1t1,18014,Neurog1,,0,,,0.666,,,M222025D04:M222029A04;M222023B12:M222029A04;M222019G09:M222029A04;,,12.70867,12.26095;12.70867;7.018072;,,
MM012395:MM021350,12395,Runx1t1,21350,Tal2,,0,,,0.738,,,M222023B12:M222012A08;M222019G09:M222012A08;M222025D04:M222012A08;,,8.303226,5.332995;6.063864;8.303226;,,
MM012590:MM013390,12590,Cdx1,13390,Dlx1,,0,,,0.835,,,M222031D04:M222026D04;,,6.657818,6.657818;,,
MM012590:MM018089,12590,Cdx1,18089,Nkx2-3,,0,,,0.621,,,M222031D04:M222011H03;,,8.22447,8.22447;,,
MM012590:MM074197,12590,Cdx1,74197,Gtf2e1,,0,,,0.62,,,M222031D04:M222019H04;,,7.819713,7.819713;,,
MM012590:MM330502,12590,Cdx1,330502,Zfp82,,0,,,0.641,,,M222031D04:M222020D02;,,12.8675,12.8675;,,
MM012591:MM013395,12591,Cdx2,13395,Dlx5,,0,,,0.766,,,M222011G03:M222018G07;,,6.165173,6.165173;,,
MM012591:MM020585,12591,Cdx2,20585,Smarca3,,0,,,0.51,,,M222011G03:M222031B04;,,6.807211,6.807211;,,
MM012591:MM030046,12591,Cdx2,30046,Zfp292,,0,,,0.532,,,M222011G03:M222025G08;M222011G03:M222025E09;,,5.729778,4.293024;5.729778;,,
MM012592:MM013390,12592,Cdx4,13390,Dlx1,,0,,,0.774,,,M222029F04:M222026D04;M222029F04:M222024H04;,,3.987095,3.73321;3.987095;,,
MM012592:MM071828,12592,Cdx4,71828,Gtf2a1lf,,0,,,0.655,,,M222029F04:M222015F08;,,8.148824,8.148824;,,
MM012606:MM013198,12606,Cebpa,13198,Ddit3,,0,,,0.505,,,,M222011E04:M222011A04;,10.59968,,10.59968;,
MM012606:MM081703,12606,Cebpa,81703,Jundm2,,0,,,0.369,,,,M222026A02:M222011A04;,6.176451,,6.176451;,
MM012609:MM019645,12609,Cebpd,19645,Rb1,,0,,,0.458,,,,,,,,
MM012609:MM076893,12609,Cebpd,76893,Lass2,,0,,,0.609,,,M222011B04:M222019H01;,,7.493547,7.493547;,,
MM012609:MM098053,12609,Cebpd,98053,Gtf2f1,,0,,,0.942,,,M222011B04:M222022C01;,,6.341753,6.341753;,,
MM012609:MM246196,12609,Cebpd,246196,Zfp277,,0,,,,,,M222011B04:M222017D01;,,6.836574,6.836574;,,
MM012611:MM081703,12611,Cebpg,81703,Jundm2,,0,,,0.455,,,,M222026A02:M222031C07;M222024D02:M222031C07;,4.209524,,3.68805;4.209524;,
MM012611:MM107503,12611,Cebpg,107503,Atf5,,0,,,0.545,,,,M222016E04:M222031C07;,69.69305,,69.69305;,
MM012677:MM018508,12677,Chx10,18508,Pax6,,0,,,0.758,,,,,,,,
MM012705:MM076893,12705,Cited1,76893,Lass2,,0,,,0.369,,,M222020C06:M222019H01;,,17.12576,17.12576;,,
MM012848:MM015432,12848,Cops2,15432,Hoxd12,,0,,,0.529,,,,M222011F09:M222028B05;,6.03063,,6.03063;,
MM012914:MM020017,12914,Crebbp,20017,Rpo1-2,,0,,,1,,,M222027B10:M222012D06;,,8.265867,8.265867;,,
MM012914:MM020183,12914,Crebbp,20183,Rxrg,,0,,,0.828,,,,,,,,
MM012914:MM020375,12914,Crebbp,20375,Sfpi1,,0,,,0.693,,,,,,,,
MM012914:MM022059,12914,Crebbp,22059,Trp53,,0,,,0.462,,,,,,,,
MM012914:MM076893,12914,Crebbp,76893,Lass2,,0,,,0.608,,,M222027B10:M222019H01;,,23.50383,23.50383;,,
MM012914:MM170787,12914,Crebbp,170787,Hdac10,,0,,,0.774,,,M222027B10:M222023A02;,,15.44742,15.44742;,,
MM012914:MM233410,12914,Crebbp,233410,Zfp592,,0,,,0.763,,,M222027B10:M222017B04;,,13.08764,13.08764;,,
MM012914:MM269424,12914,Crebbp,269424,Phf17,,0,,,0.724,,,M222027B10:M222030A12;,,6.302723,6.302723;,,
MM012952:MM021853,12952,Cry1,21853,Timeless,,0,,,0.676,,,,,,,,
MM013016:MM015182,13016,Ctbp1,15182,Hdac2,,0,,,0.475,,,,,,,,
MM013016:MM079221,13016,Ctbp1,79221,Hdac9,,0,,,0.532,,,,,,,,
MM013134:MM020471,13134,Dach1,20471,Six1,,0,,,0.722,,,,,,,,
MM013163:MM026427,13163,Daxx,26427,Creb3l1,,0,,,0.64,,,,M222014G08:M222023A07;,8.005239,,8.005239;,
MM013163:MM066233,13163,Daxx,66233,Dmap1,,0,,,0.642,,,,,,,,
MM013170:MM021685,13170,Dbp,21685,Tef,,0,,,0.947,,,,M222028G02:M222015A03;M222016H11:M222015A03;,11.59217,,11.59217;4.312488;,
MM013170:MM023894,13170,Dbp,23894,Gtf2h2,,0,,,0.728,,,M222015A03:M222026B10;,,6.877015,6.877015;,,
MM013170:MM081703,13170,Dbp,81703,Jundm2,,0,,,0.597,,,,M222026A02:M222015A03;M222018B03:M222015A03;,10.40388,,10.40388;5.120715;,
MM013170:MM217082,13170,Dbp,217082,Hlf,,0,,,0.974,,,,M222017C01:M222015A03;,9.25,,9.25;,
MM013180:MM013180,13180,Pcbd1,13180,Pcbd1,,0,,,1,,,M222020G01:M222020G01;,M222020G01:M222020G01;,53.82406,53.82406;,53.82406;,
MM013180:MM020019,13180,Pcbd1,20019,Rpo1-4,,0,,,0.571,,,M222020G01:M222017B11;,,14.23389,14.23389;,,
MM013180:MM020787,13180,Pcbd1,20787,Srebf1,,0,,,0.422,,,M222020G01:M222014C04;,,6.893387,6.893387;,,
MM013180:MM021405,13180,Pcbd1,21405,Tcf1,,0,,,0.332,,,M222020G01:M222012B08;,M222012B08:M222020G01;,46.13123,46.13123;,16.69014;,
MM013180:MM021410,13180,Pcbd1,21410,Tcf2,,0,,,0.435,,,M222020G01:M222012D08;,M222012D08:M222020G01;,24.71973,15.08432;,24.71973;,
MM013180:MM065020,13180,Pcbd1,65020,Zfp110,,0,,,0.363,,,M222020G01:M222017E10;,,16.18385,16.18385;,,
MM013180:MM065257,13180,Pcbd1,65257,Asb3,,0,,,0.164,,,M222020G01:M222015D09;,,10.23946,10.23946;,,
MM013180:MM071991,13180,Pcbd1,71991,Ercc8,,0,,,0.318,,,M222020G01:M222021F05;,,6.662584,6.662584;,,
MM013180:MM076893,13180,Pcbd1,76893,Lass2,,0,,,0.343,,,M222020G01:M222019H01;,,34.50672,34.50672;,,
MM013180:MM078783,13180,Pcbd1,78783,Brpf1,,0,,,0.71,,,M222020G01:M222016G03;,,8.700556,8.700556;,,
MM013180:MM078910,13180,Pcbd1,78910,Asb15,,0,,,0.164,,,M222020G01:M222016F06;,,7.468064,7.468064;,,
MM013180:MM107932,13180,Pcbd1,107932,Chd4,,0,,,0.409,,,M222020G01:M222017C12;,,13.93998,13.93998;,,
MM013180:MM114606,13180,Pcbd1,114606,Tle6,,0,,,0.367,,,M222020G01:M222025E04;M222020G01:M222022F05;,,17.01622,11.10168;17.01622;,,
MM013180:MM114774,13180,Pcbd1,114774,Pawr,,0,,,0.325,,,M222020G01:M222020E12;,,9.285419,9.285419;,,
MM013180:MM243983,13180,Pcbd1,243983,Zdhhc13,,0,,,,,,M222020G01:M222016B02;,,11.53316,11.53316;,,
MM013198:MM076893,13198,Ddit3,76893,Lass2,,0,,,0.401,,,M222011E04:M222019H01;,,17.24174,17.24174;,,
MM013390:MM013392,13390,Dlx1,13392,Dlx2,,0,,,0.899,,,,M222013H02:M222024H04;M222013H02:M222026D04;,3.539483,,3.020722;3.539483;,
MM013390:MM015375,13390,Dlx1,15375,Foxa1,,0,,,0.636,,,,M222031D05:M222026D04;M222031D05:M222024H04;,5.608553,,4.635958;5.608553;,
MM013390:MM015408,13390,Dlx1,15408,Hoxb13,,0,,,0.764,,,,M222011D09:M222026D04;M222011D09:M222024H04;,4.01489,,3.741474;4.01489;,
MM013390:MM027217,13390,Dlx1,27217,Mixl1,,0,,,0.775,,,,M222018F04:M222024H04;M222018F04:M222026D04;,8.658274,,7.131405;8.658274;,
MM013390:MM057765,13390,Dlx1,57765,Tbx21,,0,,,0.513,,,,M222015C04:M222024H04;,7.143281,,7.143281;,
MM013390:MM170574,13390,Dlx1,170574,Sp7,,0,,,0.743,,,M222024H04:M222016H06;M222026D04:M222016H06;,M222016H06:M222024H04;,24.83845,19.70438;20.76783;,24.83845;,
MM013392:MM017701,13392,Dlx2,17701,Msx1,,0,,,0.685,,,,,,,,
MM013392:MM170574,13392,Dlx2,170574,Sp7,,0,,,0.811,,,M222013H02:M222016H06;,,30.02168,30.02168;,,
MM013394:MM074120,13394,Dlx4,74120,Zfp263,,0,,,0.744,,,M222011G04:M222016H10;,,7.48727,7.48727;,,
MM013394:MM170574,13394,Dlx4,170574,Sp7,,0,,,0.801,,,M222011G04:M222016H06;,M222016H06:M222011G04;,17.57426,7.795763;,17.57426;,
MM013395:MM015408,13395,Dlx5,15408,Hoxb13,,0,,,0.743,,,,M222011D09:M222018G07;,6.144922,,6.144922;,
MM013395:MM018022,13395,Dlx5,18022,Nfe2,,0,,,0.684,,,,M222012G02:M222013A03;,6.03031,,6.03031;,
MM013395:MM030942,13395,Dlx5,30942,Hnf4g,,0,,,0.416,,,,M222014C12:M222013A03;,21.84953,,21.84953;,
MM013395:MM081703,13395,Dlx5,81703,Jundm2,,0,,,0.374,,,,M222026A02:M222013A03;M222024D02:M222013A03;,5.175149,,5.148836;5.175149;,
MM013395:MM170574,13395,Dlx5,170574,Sp7,,0,,,0.625,,,M222018G07:M222016H06;,M222016H06:M222018G07;,51.00677,51.00677;,15.02165;,
MM013433:MM019697,13433,Dnmt1,19697,Rela,,0,,,0.598,,,,M222012H05:M222013C03;M222012H05:M222013B03;,6.296598,,6.082284;6.296598;,
MM013433:MM244579,13433,Dnmt1,244579,Tnrc9,,0,,,1,,,,M222027C07:M222013C03;,21.1211,,21.1211;,
MM013435:MM054427,13435,Dnmt3a,54427,Dnmt3l,,0,,,0.149,KEGG/Methionine metabolism - Mus musculus (mouse),,,,,,,
MM013555:MM066647,13555,E2f1,66647,Ndnl2,,0,,,0.615,,,,,,,,
MM013555:MM211586,13555,E2f1,211586,Tfdp2,,0,,,0.811,"Reactome/E2F mediated regulation of DNA replication; Reactome/G1/S Transition; Reactome/Cell Cycle, Mitotic; Reactome/G1 Phase; Reactome/Cyclin D associated events in G1; Reactome/Inhibition of replication initiation of damaged DNA by Rb/E2F1",,M222019B04:M222029C08;,,28.89846,28.89846;,,
MM013560:MM018022,13560,E4f1,18022,Nfe2,,0,,,0.629,,,,M222012G02:M222028B10;,7.813056,,7.813056;,
MM013560:MM229004,13560,E4f1,229004,Gmeb2,,0,,,0.524,,,,M222019C08:M222028B10;M222025E03:M222028B10;,3.453059,,3.049988;3.453059;,
MM013591:MM228598,13591,Ebf1,228598,Ebf4,,0,,,0.977,,,,,,,,
MM013593:MM228598,13593,Ebf3,228598,Ebf4,,0,,,0.977,,,,,,,,
MM013626:MM433759,13626,Eed,433759,Hdac1,,0,,,0.479,,,,,,,,
MM013653:MM013653,13653,Egr1,13653,Egr1,,0,,,1,,,,,,,,
MM013653:MM017937,13653,Egr1,17937,Nab2,,0,,,0.678,,,,M222022E02:M222011C05;M222022F02:M222011C05;M222028G07:M222011C05;,7.39684,,4.314038;5.896636;7.39684;,
MM013661:MM080859,13661,Ehf,80859,Nfkbiz,,0,,,0.818,,,,M222016D04:M222011D05;,11.83503,,11.83503;,
MM013711:MM080859,13711,Elf5,80859,Nfkbiz,,0,,,0.716,,,,M222016D04:M222013F03;,10.25926,,10.25926;,
MM013716:MM117198,13716,Ell,117198,Ivns1abp,,0,,,,,,M222022E08:M222022E12;M222022E08:M222028D10;,,13.58732,11.40109;13.58732;,,
MM013796:MM014465,13796,Emx1,14465,Gata6,,0,,,0.664,,,M222026F04:M222028B09;M222024B05:M222028B09;,,5.424095,3.798338;5.424095;,,
MM013796:MM015903,13796,Emx1,15903,Id3,,0,,,0.707,,,M222024B05:M222011C10;M222026F04:M222011C10;,,4.567476,3.522544;4.567476;,,
MM013796:MM016391,13796,Emx1,16391,Isgf3g,,0,,,0.513,,,M222024B05:M222011G10;M222026F04:M222011G10;,,21.14319,17.99292;21.14319;,,
MM013796:MM017536,13796,Emx1,17536,Mrg1,,0,,,0.72,,,M222024B05:M222031D08;M222026F04:M222031D08;,,6.507743,6.425033;6.507743;,,
MM013796:MM018424,13796,Emx1,18424,Otx2,,0,,,0.81,,,M222026F04:M222016A09;,,14.06442,14.06442;,,
MM013796:MM020375,13796,Emx1,20375,Sfpi1,,0,,,0.59,,,M222026F04:M222014F02;M222024B05:M222014F02;,,3.569436,3.187578;3.569436;,,
MM013796:MM021405,13796,Emx1,21405,Tcf1,,0,,,0.496,,,M222026F04:M222012B08;M222024B05:M222012B08;,,4.712208,3.40896;4.712208;,,
MM013796:MM021908,13796,Emx1,21908,Tlx1,,0,,,0.769,,,M222024B05:M222031A05;,,6.346678,6.346678;,,
MM013796:MM022337,13796,Emx1,22337,Vdr,,0,,,0.66,,,M222024B05:M222012A10;M222026F04:M222012A10;,,3.550759,3.04531;3.550759;,,
MM013796:MM030051,13796,Emx1,30051,Spdef,,0,,,0.508,,,M222024B05:M222014A12;,,6.935249,6.935249;,,
MM013796:MM030942,13796,Emx1,30942,Hnf4g,,0,,,0.524,,,M222026F04:M222014C12;,,8.796268,8.796268;,,
MM013796:MM054123,13796,Emx1,54123,Irf7,,0,,,0.505,,,M222024B05:M222015C02;M222026F04:M222015C02;,,4.838248,4.029554;4.838248;,,
MM013796:MM071828,13796,Emx1,71828,Gtf2a1lf,,0,,,0.507,,,M222026F04:M222015F08;M222024B05:M222015F08;,,10.46737,10.21368;10.46737;,,
MM013796:MM083602,13796,Emx1,83602,Gtf2a1,,0,,,0.507,,,M222024B05:M222021A01;M222026F04:M222021A01;,,5.635144,5.329823;5.635144;,,
MM013796:MM193796,13796,Emx1,193796,Jmjd2b,,0,,,0.5,,,M222024B05:M222016C12;,,6.439353,6.439353;,,
MM013797:MM021869,13797,Emx2,21869,Titf1,,0,,,0.761,,,M222013G03:M222019A01;,,6.281383,6.281383;,,
MM013797:MM021908,13797,Emx2,21908,Tlx1,,0,,,0.76,,,M222013G03:M222031A05;,,7.654434,7.654434;,,
MM013797:MM064379,13797,Emx2,64379,Irx6,,0,,,0.528,,,M222013G03:M222025B01;,,8.474657,8.474657;,,
MM013797:MM234959,13797,Emx2,234959,Crsp6,,0,,,0.423,,,M222013G03:M222023B01;,,6.211914,6.211914;,,
MM013819:MM022346,13819,Epas1,22346,Vhlh,,0,,,0.418,KEGG/Pathways in cancer - Mus musculus (mouse); KEGG/Renal cell carcinoma - Mus musculus (mouse),,,,,,,
MM013864:MM021869,13864,Nr2f6,21869,Titf1,,0,,,0.552,,,M222031D07:M222019A01;,,6.015994,6.015994;,,
MM013864:MM056707,13864,Nr2f6,56707,Zfp111,,0,,,1,,,M222031D07:M222031B05;,,8.236806,8.236806;,,
MM013864:MM083602,13864,Nr2f6,83602,Gtf2a1,,0,,,0.587,Reactome/Gene Expression,,M222031D07:M222021A01;,,6.626944,6.626944;,,
MM013864:MM170574,13864,Nr2f6,170574,Sp7,,0,,,0.654,,,M222031D07:M222016H06;,,6.015017,6.015017;,,
MM013876:MM020674,13876,Erg,20674,Sox2,,0,,,0.531,,,M222016F07:M222024D08;,,6.733443,6.733443;,,
MM013982:MM017978,13982,Esr1,17978,Ncoa2,,0,,,0.725,,,,,,,,
MM013982:MM018996,13982,Esr1,18996,Pou4f1,,0,,,0.481,,,,,,,,
MM013982:MM018997,13982,Esr1,18997,Pou4f2,,0,,,0.452,,,,,,,,
MM013983:MM170791,13983,Esr2,170791,Rnpc2,,0,,,0.678,,,,,,,,
MM014030:MM016468,14030,Ewsr1,16468,Jarid2,,0,,,0.53,,,M222028H10:M222030C09;,,7.608843,7.608843;,,
MM014030:MM017257,14030,Ewsr1,17257,Mecp2,,0,,,0.526,,,M222011D06:M222031G01;,,6.051241,6.051241;,,
MM014030:MM017765,14030,Ewsr1,17765,Mtf2,,0,,,1,,,M222028H10:M222026A09;M222011D06:M222026A09;,,21.07607,15.3382;21.07607;,,
MM014030:MM018626,14030,Ewsr1,18626,Per1,,0,,,0.608,,,M222028H10:M222023B04;,,8.225327,8.225327;,,
MM014030:MM019712,14030,Ewsr1,19712,Rest,,0,,,0.958,,,M222028H10:M222025G04;,,6.438447,6.438447;,,
MM014030:MM019885,14030,Ewsr1,19885,Rorc,,0,,,0.497,,,M222028H10:M222019D07;,,6.552742,6.552742;,,
MM014030:MM020019,14030,Ewsr1,20019,Rpo1-4,,0,,,1,,,M222028H10:M222017B11;,,15.52945,15.52945;,,
MM014030:MM020592,14030,Ewsr1,20592,Jarid1d,,0,,,0.134,,,M222028H10:M222025B10;M222028H10:M222025C10;,,12.85967,12.85967;5.353525;,,
MM014030:MM020787,14030,Ewsr1,20787,Srebf1,,0,,,0.685,,,M222028H10:M222014C04;,,9.801544,9.801544;,,
MM014030:MM021652,14030,Ewsr1,21652,Phf1,,0,,,,,,M222028H10:M222031B09;,,6.815142,6.815142;,,
MM014030:MM021945,14030,Ewsr1,21945,Dedd,,0,,,0.649,,,M222011D06:M222014C06;,,9.134491,9.134491;,,
MM014030:MM022221,14030,Ewsr1,22221,Ubp1,,0,,,0.819,,,M222011D06:M222026B12;,,16.39907,16.39907;,,
